"IECO0001","IECO0002","IAMB0001","IECO0005","IAMB0002","IAMB0006","IAMB0007","IECO0009","ISOC0005","ISOC0006","ISOC0007","ISOC0008","IECO0018","IECO0019","ISOC0010","IECO0032","IECO0033","IECO0034","IECO0035","ISOC0011","ISOC0012","IECO0036","IECO0037","IECO0038","IECO0039","IECO0040","IECO0042","IECO0043","IECO0044","IECO0045","IECO0046","IECO0047","IECO0048","IECO0049","IECO0050","IECO0051","IECO0052","IECO0053","IECO0054","IECO0055","IECO0056","IECO0057","IECO0058","IECO0059","IECO0041","IECO0026","IECO0027","ISOC0013","IECO0066","IECO0065","IECO0064","IECO0029"
12.872592340492,8.96898693021836,19.4663041848393,53.1731668236979,63.2972312080084,36.0312040181354,36.0312040181354,63.1170063562628,50.2938579417601,82.0721909101811,100,97.9868546153528,10.7789685524497,27.5681509611217,36.5771721167132,17.2772672522297,3.04071499503476,30.8338837302666,0.969688513725627,20.1284555288461,52.3962430761821,0,0,0.694203401596664,0,0,0,0,0,0,0,0,0,0.799256505576204,1.91705069124424,36.7086393844001,0,2.81220209723547,2.3105360443623,0,0,0,0,0,0,37.0258161418283,2.39048134126555,44.909357473645,12.987012987013,18.8449848024316,2.77777777777778,0
47.7941510892585,16.7637902635315,53.9024356384393,8.55194736714233,66.1062889036198,59.8796200936554,59.8796200936554,15.3606395948823,49.9188211501761,86.311308310349,94.0553846153846,78.6635525608697,21.1826063092192,0,0,41.3769302602553,9.04270109235352,49.390678218527,3.32414803446231,41.4400540865385,37.7478526129887,20.3598484848485,14.4518272425249,12.1659146129816,10.1694915254237,11.1576741749607,11.8000925497455,11.7173524150268,17.8754578754579,18.6742694226657,19.7530864197531,21.6138328530259,24.1042345276873,21.2453531598513,16.9032258064516,36.7086393844001,10.2978293791015,8.05529075309819,6.37707948243993,21.3364055299539,11.377245508982,9.1823056300268,7.54847645429364,1.93409742120344,12.7307146237577,36.9552100851124,8.51541373715522,26.9041911987154,21.5213358070501,19.9594731509625,9.72222222222222,4.83045425463855
82.9011285677101,47.5105584723939,86.642650483965,0,4.92215978039679,4.16930396903611,4.16930396903613,4.11364867607735,67.8009551569933,100,40.1907692307692,0,59.5920983223583,43.6187910349435,67.7115223104223,33.1023562370583,15.0566037735849,54.4064130955618,4.77868080505075,38.0896935096154,51.1439351368708,39.9621212121212,30.9708379475821,30.7532106907324,32.8945203225276,54.9502357255107,54.0953262378528,60.0178890876565,55.6043956043956,54.9536707056308,62.2367465504721,67.0028818443804,28.1351791530945,25.092936802974,21.4377880184332,9.70619097586569,41.5446744068652,42.9933269780744,44.362292051756,12.3502304147465,62.2089155023287,67.828418230563,77.8393351800554,16.7621776504298,51.4434453383815,17.646379193037,8.52352623039481,61.1714877475507,0,15.8054711246201,0,4.30084595151776
5.09751066928636,5.45790900051337,82.2789011348388,68.9897748710329,14.993753511949,40.7533706182181,40.7533706182181,81.9058031637859,0,87.0607986569133,90.9723076923077,13.8398577983547,0,20.4846505574117,4.89555958928231,0,0,24.3599207428416,0,52.8019831730769,0,15.5681818181818,13.7135474344777,11.4717112113849,11.9302287312819,11.5767417496071,14.4840351689033,14.1323792486583,11.6483516483516,9.33713471133286,9.65867828612926,12.8242074927954,12.5610749185668,18.6802973977695,12.7188940092166,14.4805876180483,10.550227158001,15.6339370829361,10.5360443622921,21.3364055299539,4.32468396540252,5.36193029490616,2.49307479224377,3.58166189111749,15.2863227638429,43.3765100068039,0,0,23.9332096474954,21.9858156028369,12.5,1.48930120139337
7.99588578368991,19.2977887152409,42.9123544794802,78.1905310752419,0,25.1084316831404,25.1084316831404,74.4980754343124,58.5456168168397,59.388615741296,100,100,13.021967092482,42.8710012991238,42.4263769607976,18.204333527318,36.7884806355511,7.95550202675576,74.1769855941958,29.5222355769231,57.2328811110219,7.93560606060606,2.06718346253231,0,1.25061708079644,5.08119434258775,6.80240629338269,5.36672629695886,12.0879120879121,12.615823235923,16.4124909222948,17.9394812680115,1.44543973941369,0,0,0,3.93740535083291,5.29075309818875,2.26432532347505,0.59907834101383,8.05056553559548,6.30026809651475,7.4792243767313,1.93409742120344,8.14008518693801,36.5315737448169,27.2742022714981,52.1630867329129,14.2857142857143,8.61195542046606,20.8333333333333,6.57211914409613
27.1870109582444,0,49.8648036357349,18.5510513099368,46.514153054316,100,100,37.3814421973513,33.3782744509747,48.2441939481153,100,100,13.0375330775676,8.0319384093777,9.2276015279998,13.4634384008445,11.7378351539225,0.372974863048285,54.5285848826258,0,62.9987155816007,28.8257575757576,24.1232927279439,23.8632419298855,22.5769294059569,23.3630172865375,21.7954650624711,21.3774597495528,38.7545787545788,30.1496792587313,29.7022512708787,30.2593659942363,34.2833876221498,41.8773234200743,29.6774193548387,31.8992654774397,18.3745583038869,17.3975214489991,14.279112754159,14.7004608294931,29.8735861610113,21.514745308311,17.590027700831,11.7478510028653,23.9469947941316,15.4742801391581,2.5013520822066,41.1370459146866,7.23562152133581,0,15.2777777777778,6.57567356223788
67.5218134503642,54.5853698023115,80.796866268569,15.3414045114252,5.8258584251394,4.63199617249792,4.63199617249793,26.2242534022344,65.841269238438,66.0750689531119,81.6307692307691,78.545740151296,43.2743274096193,47.9908939476545,64.893934057598,1.74586203629769,51.2234359483615,0,80.5546060204402,2.70057091346164,65.5735730914346,30.530303030303,21.4470284237726,19.1253037139882,16.3073885140694,26.6631744368779,22.2582137899121,22.4508050089446,24.6886446886447,18.0327868852459,16.1946259985476,17.5792507204611,22.2312703583062,17.9925650557621,12.110599078341,14.4805876180483,12.0646138313983,9.15157292659676,10.3512014787431,12.3502304147465,19.7604790419162,12.3324396782842,9.27977839335182,3.58166189111749,22.7638428774255,0,16.6306111411574,65.2486560703731,25.6029684601113,5.47112462006079,44.4444444444444,6.57211914409613
0,15.3169272117356,100,100,1.29355639833905,62.4493542792707,62.4493542792707,100,1.18112852843155,61.0684734380622,100,100,0.198702890548284,35.4909777317187,0.279049605808544,2.6214998172935,27.733862959285,1.419376562156,52.6785029125536,12.9281850961539,41.3783414947419,16.1742424242424,8.74861572535991,6.97674418604651,6.15435247655092,15.2435830277632,7.91300323924109,8.31842576028623,23.6630036630037,19.3157519600855,17.2113289760348,18.1556195965418,12.8664495114007,12.6951672862453,8.60829493087558,13.1514515564883,9.03584048460373,0,0,0,16.6999334664005,9.38337801608578,5.81717451523546,0,9.79649787032655,42.0735073237737,15.6084369929692,18.7009843848176,7.05009276437848,6.18034447821682,18.0555555555556,6.57211914409613
18.8548360096613,27.9535143210978,0,60.4947316094741,21.2391730513418,23.5958406430117,23.5958406430117,66.1276679610276,80.9367374647512,66.2119758564177,100,100,30.1992847574563,70.8683040829187,66.6440898377178,39.6865568623205,40.2383316782522,39.1235090718365,76.378666852698,49.4365985576924,69.1839929356988,16.6098484848485,11.0926541159099,9.84033321763277,10.3175909165707,15.295966474594,16.1036557149468,15.2057245080501,32.0879120879121,26.9422665716322,28.0319535221496,27.3054755043228,18.6685667752443,17.2118959107807,11.3364055299539,9.70619097586569,18.6269560827865,24.4518589132507,20.8872458410351,21.3364055299539,29.8735861610113,27.6139410187668,25.6232686980609,16.7621776504298,15.7595835305253,64.3721837811469,55.8707409410492,71.3364827441763,100,84.3971631205674,100,36.4576668799317
43.3085969997674,17.8205776411255,48.3344262435424,13.8982143401642,66.4765441607958,68.1302023144216,68.1302023144216,28.8372428650126,12.1141630982786,54.8507015229644,100,100,34.6649407476057,36.6775720073557,16.0656714800466,54.4370609969007,72.3078450844091,53.9984718391028,96.4630785866267,25.5746694711539,55.9083246367504,44.7159090909091,38.9258028792912,33.3738285317598,33.3223630080632,35.5159769512834,31.6057380842203,30.1431127012522,50.4761904761905,49.607982893799,52.1423384168482,50.2161383285303,58.692996742671,60.2788104089219,50.7834101382489,52.7981811822315,34.4775365976779,31.8875119161106,30.9149722735675,30.184331797235,46.04125083167,45.0402144772118,44.1828254847646,38.1805157593123,33.3648840511122,50.4422506643388,76.6928069226609,40.3225431104698,85.3432282003711,74.2654508611955,75,32.9423473377408
