"ISOC0001","ISOC0002","ISOC0003","ISOC0005","ISOC0006","ISOC0007","ISOC0008","region","SOC_PC1"
-0.152656133116467,0.347866997468322,-0.438216655371452,-0.251459252081777,0.592665969135948,1.0534339788443,0.71949973538514,"ES-AN",1.30211066339846
0.300837629233452,0.226220574483263,-0.717209773250952,0.232937411245403,0.565763202706451,-1.27375480055075,0.017785956513898,"ES-AR",-2.4201332185751
-0.122531925785775,0.363240669698607,0.060138663890931,-0.177094749262213,0.40303911699181,0.899402022025743,0.73446220373605,"ES-AS",0.646452862254568
-0.00543493834053651,0.544705526262813,0.215941877278215,-0.363533806266892,0.144657365725993,0.522958088987135,0.0999603915310868,"ES-CB",-0.277393818870754
-1.30881099719095,0.744210344410224,-0.409201109296079,-0.225780967453753,0.323695236135363,0.424890587213439,0.135523929646612,"ES-CE",1.43161578583194
0.0190370221897044,0.343883461685087,0.13694857379142,-0.577748393002611,-0.301400705254035,-0.290297685136265,-0.368835735388031,"ES-CL",-1.7603825748383
-0.119800037405473,0.327482015640149,-0.0442880843778285,-0.64750015936389,-0.378505881250139,-0.435474517159351,0.0628727196580049,"ES-CM",-1.00693737155645
-0.222619795498223,0.584474862206103,-0.0623105005289027,0.770870483239635,0.369919487332628,0.378355181747378,-0.431733531515544,"ES-CN",-1.64077141168263
0.0287506478613699,0.387682699105171,-0.718739545988629,-1.01512799336401,0.24954737642336,0.596022834301929,0.520340474162288,"ES-CT",1.51869811968831
-0.208499238527451,0.200041137424677,-0.187532645957598,0.602725963514815,0.663264737962049,0.631114394559594,-0.123856086485443,"ES-EX",-1.44553598344487
-0.258766484648013,0.319354797354496,0.270352131963022,0.347031413379968,0.388277971927407,0.517352277656717,0.353790267232717,"ES-GA",-0.862384096555783
-0.348132607031858,0.404959930945544,-0.557062880491646,-0.898742774787868,0.0954958358308988,0.724665604142838,0.447798596651061,"ES-IB",1.56765727236831
0.0647746588338046,0.136839170018718,-0.743418244969449,0.36969690491295,1.07552074742444,0.665060014839079,-0.0253668455421384,"ES-MC",-0.84275628891297
-0.138127803596755,0.464331627269537,-1.08050833101883,-0.527468108736346,-0.22196131704204,0.863785676755182,0.642505030788563,"ES-MD",2.08492924583854
-1.54625792630414,0.272025198943409,-0.506930088172596,-0.225780967453753,0.323695236135363,0.424890587213439,0.135523929646612,"ES-ML",0.818979417221006
0.0918890335201381,0.262611633382071,-0.129028803042107,0.408275376283095,0.033154423373565,0.660469229224613,-0.148629726640658,"ES-NC",-1.43613476829492
-0.180538026164402,0.901952641958469,-0.674121917676929,-0.381901545828914,1.15231045956554,0.913728694831597,-0.203133904463284,"ES-PV",1.32378916359677
-0.0384069593520825,0.3531145356015,-0.324645201133035,-0.570828960930846,0.459849314936351,0.238537583936099,-0.508979449065641,"ES-RI",-0.975728491647606
-0.313532480107336,0.411820638056177,-1.05034181852158,-0.504103632821313,0.179528729050602,0.501439885247065,0.128844341021523,"ES-VC",1.04945309215668
-0.0385554752166215,0.363603423392934,-0.324645201133035,-0.880085590296742,0.355387415595702,0.481232105589002,0.522106296059429,"ESP",0.924472402024818
