"region","SCORE_DIMENSION","IECO0001","IECO0002","IECO0005","IECO0009","IECO0018","IECO0019"
"ES-AN",-0.127323171912876,-0.0186778422799676,0.0381889906854778,0.318105784900147,-0.159150221371457,-0.0924658683622353,-0.282551196316933
"ES-AR",1.76143967148285,0.116626719029284,0.390787584310863,1.26143315806453,0.239125906385664,0.0551986755296144,0.655984128863952
"ES-AS",-2.2043247675277,-0.0307403381807005,-0.973367192302845,-0.818018703957681,-0.392565160157105,-0.460081923989457,-0.728070045371951
"ES-CB",0.747308045202451,0.0889871060228947,-0.387447115286429,0.064904799588435,1.03709258097336,-0.31273496732989,0.662826253619591
"ES-CE",-0.0997501523398805,-0.243664391908208,-0.0452015210214948,-0.256323251749218,0.0333229640151161,0.0520903312932401,0.305790327428647
"ES-CL",1.68842089874566,0.120145085529805,0.648806530150023,1.47359650844899,0.397896177856357,-0.214895906972056,0.180887796016695
"ES-CM",0.211699090599667,0.0893960009107445,0.114335545461537,0.00965551065328632,0.229561885123572,-0.166135487928906,0.0499890461260947
"ES-CN",-3.60595998722826,0.0118058795073952,-0.199681630256771,-0.908324074841038,-2.30447538422304,-0.283367628219287,-1.88252212281294
"ES-CT",-0.749739774028405,-0.0819881029692619,0.0191090481711697,-0.677492752815369,0.0432523985880992,-0.166419587581602,-0.293843550798072
"ES-EX",-2.0527174935296,-0.361483780971043,0.158769798784015,-1.94211493851737,-0.448583846671493,-0.271196219664155,-0.304196355911055
"ES-GA",-0.673429019381538,-0.0407647800357536,-0.0244633454089043,-0.409323932371189,-0.180543251498911,-0.178434609359962,-0.206050774450881
"ES-IB",3.66309063503662,-0.0264235309366681,0.316409962545899,0.69377193589308,1.24154768861503,0.823473024024996,2.60597916720869
"ES-MC",-0.324888252768108,0.0555496415105421,-0.129797490062469,-0.053555487260788,-0.149767851577971,0.269945627154479,-0.493908447477353
"ES-MD",-0.0155864961391109,0.0763537278233802,-0.085500783126974,0.23025793205373,-0.0438490916856518,0.139315836202716,-0.34063868782857
"ES-ML",2.1635009076174,-0.124664093168305,1.31456740063233,0.916424095319718,-0.485097016607142,1.53934968952638,0.179242991595662
"ES-NC",1.19789119766417,-0.107505880136689,0.992296113353916,0.774051129094433,0.465349751987245,-0.255818157371868,-0.019173522812307
"ES-PV",-0.444636896479341,0.125680783792912,-0.418231477152125,-0.0714356261781744,0.791075813029821,-0.776868639594676,-0.33661232163658
"ES-RI",-0.761831264504695,0.251218265603072,-1.26405278539704,-0.950173756951205,-0.488152913565949,0.708369312856593,0.566743546888252
"ES-VC",-0.249283704511694,0.0702608767638731,-0.321415878320432,0.13268870313753,0.137917557677732,-0.168779383466287,-0.235494208752144
"ESP",-0.123879465997607,0.029888654092694,-0.144111755759745,0.211872967488149,0.036042013106728,-0.240544116747637,-0.0843820235788035
