"region","ECO_PC1","ENV_PC1","SOC_PC1"
"ES-AN",-0.127323171912876,-1.58143690338386,1.30211066339846
"ES-AR",1.76143967148285,2.32424461292183,-2.4201332185751
"ES-AS",-2.2043247675277,1.95127830566739,0.646452862254568
"ES-CB",0.747308045202451,0.622415754652787,-0.277393818870754
"ES-CE",-0.0997501523398805,-0.532811042771797,1.43161578583194
"ES-CL",1.68842089874566,-1.48105753507458,-1.7603825748383
"ES-CM",0.211699090599667,1.5874546469749,-1.00693737155645
"ES-CN",-3.60595998722826,-1.16871361515318,-1.64077141168263
"ES-CT",-0.749739774028405,-0.354293682480897,1.51869811968831
"ES-EX",-2.0527174935296,0.477939719826609,-1.44553598344487
"ES-GA",-0.673429019381538,0.628548079091359,-0.862384096555783
"ES-IB",3.66309063503662,-0.149559086274367,1.56765727236831
"ES-MC",-0.324888252768108,-1.64586381235239,-0.84275628891297
"ES-MD",-0.0155864961391109,-0.0848999848310766,2.08492924583854
"ES-ML",2.1635009076174,-0.33756131268481,0.818979417221006
"ES-NC",1.19789119766417,0.0300681089099277,-1.43613476829492
"ES-PV",-0.444636896479341,-0.234344332611403,1.32378916359677
"ES-RI",-0.761831264504695,1.18374843571306,-0.975728491647606
"ES-VC",-0.249283704511694,-0.236425414750943,1.04945309215668
"ESP",-0.123879465997607,-0.998730941388555,0.924472402024818
