"Country 2-digit ISO,""Country"",""Country appear"",""Region Code"",""Region name"",""NUTS name short"",""NUTS Name"",""Index"",""Component"",""CODE1"",""Component + code 1"",""Value"",""National value"""
"AT,""Austria"",""0"",""AT11"",""Burgenland"",""AT11 - Burgenland"",""AT11 - Burgenland"",""FOUNDATION SUB-INDEX"",""ICT Access"",""22"",""22. ICT Access"",""78,8"",""82"""
"AT,""Austria"",""0"",""AT11"",""Burgenland"",""AT11 - Burgenland"",""AT11 - Burgenland"",""FOUNDATION SUB-INDEX"",""Health and Wellness"",""23"",""23. Health and Wellness"",""70,5"",""73"""
"AT,""Austria"",""0"",""AT11"",""Burgenland"",""AT11 - Burgenland"",""AT11 - Burgenland"",""FOUNDATION SUB-INDEX"",""Environmental Quality"",""24"",""24. Environmental Quality"",""42"",""41,5"""
"AT,""Austria"",""0"",""AT11"",""Burgenland"",""AT11 - Burgenland"",""AT11 - Burgenland"",""OPPORTUNITY SUB-INDEX"",""Personal Rights"",""31"",""31. Personal Rights"",""54,7"",""55,8"""
"AT,""Austria"",""0"",""AT11"",""Burgenland"",""AT11 - Burgenland"",""AT11 - Burgenland"",""OPPORTUNITY SUB-INDEX"",""Personal Freedom and Choice"",""32"",""32. Personal Freedom and Choice"",""73,3"",""75,8"""
"AT,""Austria"",""0"",""AT11"",""Burgenland"",""AT11 - Burgenland"",""AT11 - Burgenland"",""OPPORTUNITY SUB-INDEX"",""Tolerance Inclusion"",""33"",""33. Tolerance Inclusion"",""70,3"",""69,2"""
"AT,""Austria"",""0"",""AT11"",""Burgenland"",""AT11 - Burgenland"",""AT11 - Burgenland"",""OPPORTUNITY SUB-INDEX"",""Advanced Education"",""34"",""34. Advanced Education"",""53,1"",""73,5"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""EU_SPI"",""EU SOCIAL PROGRESS INDEX"",""1"",""1. EU SOCIAL PROGRESS INDEX"",""72,2"",""74"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""BASIC SUB-INDEX"",""BASIC SUB-INDEX"",""10"",""10. BASIC SUB-INDEX"",""87,9"",""87,9"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""FOUNDATION SUB-INDEX"",""FOUNDATION SUB-INDEX"",""20"",""20. FOUNDATION SUB-INDEX"",""64,4"",""66,7"""
"AT,""Austria"",""0"",""AT12"",""Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""AT12 - Nieder̦sterreich"",""OPPORTUNITY SUB-INDEX"",""OPPORTUNITY SUB-INDEX"",""30"",""30. OPPORTUNITY SUB-INDEX"",""65,5"",""68,3"""
